method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[100, 100, 100, 1]",14271,54,0.3,0.5016382677108627,0.5142555832862854,346.4860656261444,600.5072102546692,819,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 100, 100, 1]",10251,54,0.5,0.4590911273576149,0.4827107489109039,236.1207430362701,600.4730303287506,793,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 100, 100, 1]",4221,54,0.8,0.1902335031030916,0.3323782086372375,551.2697701454163,600.9187705516815,6568,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 100, 100, 1]",2211,54,0.9,0.0728236634254046,0.33084636926651,559.1175363063812,600.8175077438354,84743,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 100, 100, 1]",1206,54,0.95,0.0246122127379319,0.1091538965702056,0.6505832672119141,1.9632728099823,6,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 100, 100, 1]",301,54,0.995,0.0060798409394919,0.0685096979141235,0.4376845359802246,1.173027276992798,1,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 100, 100, 1]",221,54,0.999,0.0060798409394919,0.0686852261424064,0.2844443321228027,0.2862923145294189,1,600,0.421760082244873,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,50,0.0,0.022005031054535,0.0220044292509555,73.40429639816284,601.1075918674469,117,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",42541,50,0.3,0.0240111159035519,0.0357212126255035,594.9032635688782,601.1998021602631,156,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",30501,50,0.5,0.2191878662796262,0.20449760556221,448.4610948562622,600.9215707778931,75,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",12441,50,0.8,0.0480892425894318,0.1193686127662658,233.28228187561035,601.4639348983765,763,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",6421,50,0.9,-0.0212302021682262,-0.0123002501204609,1.2095067501068115,2.1055328845977783,1,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",3411,50,0.95,-0.0212302021682262,-0.0168507862836122,0.7175619602203369,1.1194000244140625,1,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",702,50,0.995,-0.0212302021682262,0.0503073520958423,0.5768673419952393,1.522481918334961,4,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",461,50,0.999,-0.0212302021682262,0.0170968659222126,0.5751233100891113,1.4302525520324707,1,600,0.2973082959651947,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,51,0.0,-0.0204685242772267,-0.0204685255885124,569.3528928756714,601.0098145008087,75,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",42541,51,0.3,0.0094963494171679,0.0161006115376949,596.6951797008514,601.8349788188934,83,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",30501,51,0.5,-0.051609281115449,-0.0462220385670661,12.229696035385132,601.2142548561096,63,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",12441,51,0.8,0.0528639219977364,0.0131979398429393,222.367910861969,600.911416053772,601,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",6421,51,0.9,-0.0316849909722805,-0.0484594963490963,0.7216532230377197,1.6419196128845217,1,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",3411,51,0.95,-0.0316849909722805,-0.0465854406356811,1.2006795406341553,2.568495988845825,1,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",702,51,0.995,-0.0316849909722805,-0.0399257354438304,1.1731514930725098,2.142180919647217,4,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",461,51,0.999,-0.0316849909722805,-0.0524232350289821,0.6434252262115479,1.4269537925720217,1,600,0.1015471667051315,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,52,0.0,0.0462425104331803,0.0462425090372562,405.3784410953522,600.6710419654846,91,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",42541,52,0.3,0.0656961436435294,0.0594057328999042,481.18798828125,600.6275582313538,146,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",30501,52,0.5,0.0341036742098546,0.0104329995810985,1.4722228050231934,600.9086246490479,109,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",12441,52,0.8,0.0879430682568139,0.0242790319025516,4.426920413970947,602.144159078598,1678,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",6421,52,0.9,0.0420688800513744,0.009206723421812,1.2189364433288574,2.7472944259643555,5,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",3411,52,0.95,0.0420688800513744,0.0117068998515605,1.1991970539093018,2.2487423419952397,1,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",702,52,0.995,0.0420688800513744,-0.042353194206953,1.151813268661499,2.017909288406372,3,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",461,52,0.999,0.0420688800513744,-0.0528664104640483,1.252211093902588,1.9081697463989256,2,600,0.1070311516523361,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,53,0.0,0.1074403334389539,0.1074402183294296,301.07472252845764,601.2567758560181,169,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",42541,53,0.3,0.0773323293979435,0.072929061949253,450.6236650943756,601.6371331214905,81,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",30501,53,0.5,0.1002998806414958,0.116081029176712,437.89932799339294,601.0091905593872,234,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",12441,53,0.8,0.0945981503409073,0.1119445413351059,274.5424165725708,601.0931437015533,1364,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",6421,53,0.9,0.0434912927448749,0.0736333057284355,9.175885677337646,37.56091260910034,4289,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",3411,53,0.95,0.0434912927448749,0.0456289909780025,0.8658196926116943,1.5548245906829834,1,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",702,53,0.995,0.0434912927448749,0.0210753101855516,0.8766074180603027,1.6963832378387451,4,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",461,53,0.999,0.0434912927448749,-0.009987499564886,0.6036694049835205,1.7072041034698486,2,600,0.2913819551467895,
no_warm_start_dense_passing,"[100, 200, 200, 1]",60601,54,0.0,0.161690567142085,0.1616905331611633,586.6856887340546,600.7880177497864,105,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 200, 200, 1]",42541,54,0.3,0.0503723345334041,0.046884398907423,7.29066801071167,601.0607295036316,25,600,0.2586670517921448,
no_warm_start_dense_passing,"[100, 200, 200, 1]",30501,54,0.5,0.2662606022134749,0.2434470653533935,593.4518375396729,600.9956574440002,188,600,0.2586670517921448,
