method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution,slurm_array_id
no_warm_start_dense_passing,"[10000, 50, 50, 50, 1]",505201,53,0.0,0.1398224450384634,0.1398224383592605,10.29086446762085,601.8079326152802,1,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 1]",505201,54,0.0,-0.0273318775063892,-0.0273318737745285,8.379349946975708,601.1176407337189,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 1]",1020401,50,0.0,0.029907778435089,0.0299077779054641,27.938158750534058,604.1356358528137,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 1]",1020401,51,0.0,-0.066984245490094,-0.0669842436909675,26.885815382003784,601.1537141799927,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 1]",1020401,52,0.0,0.0221479754912476,0.022147873416543,28.189468145370483,601.1320340633392,3,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 1]",1020401,53,0.0,-0.1124879019154526,-0.1124878972768783,56.91138529777527,602.015683889389,1,600,0,
no_warm_start_dense_passing,"[10000, 100, 100, 100, 1]",1020401,54,0.0,-0.0842947427531105,-0.084294743835926,38.98581027984619,601.6045486927032,1,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 1]",2080801,50,0.0,-0.0447564766624891,-0.0447564758360385,22.96843242645264,603.3502471446991,2,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 1]",2080801,51,0.0,-inf,-inf,,601.8030047416687,0,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 1]",2080801,52,0.0,-inf,-inf,,602.6585941314697,0,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 1]",2080801,53,0.0,0.0363689616670478,0.0363689623773098,28.293309450149536,602.2747132778168,2,600,0,
no_warm_start_dense_passing,"[10000, 200, 200, 200, 1]",2080801,54,0.0,0.0472102923441892,0.047210294753313,24.14732027053833,603.8794939517975,2,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 1]",507751,50,0.0,0.0873268740280319,0.0873268842697143,9.088008880615234,601.1135630607605,1,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 1]",507751,51,0.0,0.0569894202874481,0.0569893568754196,11.074581861495972,601.1392090320587,3,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 1]",507751,52,0.0,0.1427570456769577,0.1427570432424545,9.546827793121338,601.389524936676,1,600,0,
no_warm_start_dense_passing,"[10000, 50, 50, 50, 50, 1]",507751,53,0.0,-0.060215443613903,-0.060215450823307,8.186930418014526,600.8147959709167,1,600,0,
