method,model_size,parameters,seed,prune_amount,max_,original_max,original_max_time_elapsed,solve_time,sol_count,time_limit,first_solution
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",102311,51,0.9,-inf,0.1152132600545883,494.7498981952667,600.7529046535492,34,600,0.8064201474189758
no_warm_start_remove_region,"[10000, 100, 100, 100, 1]",51306,51,0.95,-inf,0.0067519098520278,555.1534061431885,601.0211889743805,48,600,0.8064201474189758
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",12004000,50,0.0,-inf,0.2972418069839477,301.0686049461365,610.9227843284607,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",8403701,50,0.3,-inf,0.2901374399662018,245.8710629940033,608.9226503372192,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",6003501,50,0.5,-inf,0.2157576382160186,160.71806812286377,608.3810706138611,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",2403201,50,0.8,-inf,0.0533121898770332,175.03229355812073,608.429057598114,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",1203101,50,0.9,-inf,0.0085941972211003,10.633856773376465,18.98657488822937,4,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",603051,50,0.95,-inf,0.0085941972211003,9.133244514465332,14.384942293167114,3,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",12004000,51,0.0,-inf,-0.0112196691334247,609.9987046718597,610.1084897518158,1,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",8403701,51,0.3,-inf,0.360894113779068,219.8613600730896,609.6793119907379,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",6003501,51,0.5,-inf,0.2783265709877014,144.5388834476471,609.3715691566467,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",2403201,51,0.8,-inf,0.0444383472204208,243.27192640304563,606.745404958725,2,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",1203101,51,0.9,-inf,-0.0147094447165727,8.365294694900513,10.824036598205566,3,600,
no_warm_start_remove_region,"[10000, 1000, 1000, 1000, 1]",603051,51,0.95,-inf,-0.0147094447165727,6.7097907066345215,8.365230321884155,3,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",300039984,50,0.0,-inf,-inf,,1128.5376117229462,0,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",210037001,50,0.3,-inf,-0.0276840515434741,891.0776274204254,892.4032311439514,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",150035001,50,0.5,-inf,-inf,,838.4360737800598,0,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",60032001,50,0.8,-inf,-0.0276840515434741,716.1774561405182,716.7028803825378,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",30031001,50,0.9,-inf,-inf,,680.2559881210327,0,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",15030501,50,0.95,-inf,-0.0276840515434741,683.1223578453064,684.0363087654114,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",300039983,51,0.0,-inf,0.0150669468566775,963.8467202186584,965.684398174286,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",210037001,51,0.3,-inf,0.0150669468566775,890.1627428531647,891.792474269867,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",150035001,51,0.5,-inf,0.0150669468566775,829.329446554184,830.6544857025146,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",60032001,51,0.8,-inf,0.0150669468566775,719.0694668292999,719.6005699634552,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",30031001,51,0.9,-inf,0.0150669468566775,684.1756834983826,684.5838942527771,1,600,
no_warm_start_remove_region,"[10000, 10000, 10000, 10000, 1]",15030501,51,0.95,-inf,0.0150669468566775,667.3098497390747,667.5113623142242,1,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",10010301,50,0.0,-inf,-0.1214047819375991,4.222442626953125,604.2299842834473,1,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",7007271,50,0.3,-inf,6.916069507598877,492.8141479492188,603.8739354610443,2,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",5005251,50,0.5,-inf,4.63622522354126,310.3916339874268,603.8325510025024,2,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",2002221,50,0.8,-inf,5.128175258636475,128.24788808822632,602.564040184021,6,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",1001211,50,0.9,-inf,5.0142998695373535,487.0147874355316,602.2743234634399,22,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",500706,50,0.95,-inf,3.401261329650879,268.9494140148163,604.017215013504,6,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",10010300,51,0.0,-inf,0.0642231851816177,4.479287147521973,604.4661417007446,1,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",7007271,51,0.3,-inf,10.286368370056152,360.4928045272827,603.3538060188293,3,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",5005251,51,0.5,-inf,4.487605094909668,295.0300886631012,603.2313559055328,2,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",2002221,51,0.8,-inf,6.96101188659668,97.51755285263062,602.2720801830292,4,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",1001211,51,0.9,-inf,4.980306148529053,527.9637775421143,602.0931386947632,11,600,
no_warm_start_remove_region,"[100000, 100, 100, 1]",500706,51,0.95,-inf,3.4655990600585938,93.35416531562804,601.4698100090027,7,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",101002997,50,0.0,-inf,0.0553139969706535,40.59912729263306,640.0961201190948,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",70702701,50,0.3,-inf,0.0553139969706535,34.03560662269592,634.0870287418365,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",50502501,50,0.5,-inf,0.0553140044212341,20.65427088737488,620.5518064498901,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",20202201,50,0.8,-inf,0.0553139969706535,12.382973194122314,612.3836536407471,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",10102101,50,0.9,-inf,0.0553139969706535,9.273662805557253,609.3121659755707,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",5052051,50,0.95,-inf,0.0553139969706535,7.444171190261841,607.4944789409637,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",101002996,51,0.0,-inf,-0.0048027238808572,43.41047787666321,643.0098078250885,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",70702701,51,0.3,-inf,-0.0048027238808572,31.14238452911377,630.9345965385437,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",50502501,51,0.5,-inf,-0.0048027238808572,22.09276247024536,621.9197609424591,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",20202201,51,0.8,-inf,-0.0048027238808572,12.688297510147097,612.6741454601288,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",10102101,51,0.9,-inf,-0.0048027238808572,7.4406044483184814,607.470223903656,1,600,
no_warm_start_remove_region,"[100000, 1000, 1000, 1]",5052051,51,0.95,-inf,-0.0048027238808572,5.896753072738648,605.9459857940674,1,600,
no_warm_start_remove_region,"[100000, 10000, 10000, 1]",1100029946,50,0.0,-inf,0.0201716013252735,1162.6788148880005,1168.9604814052582,1,600,
no_warm_start_remove_region,"[100000, 10000, 10000, 1]",770027001,50,0.3,-inf,0.0201716013252735,971.568239927292,977.5197327136992,1,600,
no_warm_start_remove_region,"[100000, 10000, 10000, 1]",550025001,50,0.5,-inf,0.0201716013252735,896.129068851471,900.8601005077362,1,600,
no_warm_start_remove_region,"[100000, 10000, 10000, 1]",220022001,50,0.8,-inf,0.0201716013252735,779.378011226654,781.6490490436554,1,600,
no_warm_start_remove_region,"[100000, 10000, 10000, 1]",110021001,50,0.9,-inf,-inf,,768.7142705917358,0,600,
